"","age","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y","admin.","blue-collar","entrepreneur","housemaid","management","retired","self-employed","services","student","technician","unemployed","unknown"
"29",46,"3","2","0",-246,"1","0","-1",5,"5",255,2,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"30",36,"3","2","0",265,"1","1","-1",5,"5",348,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"31",57,"2","2","0",839,"0","1","-1",5,"5",225,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"32",49,"2","3","0",378,"1","0","-1",5,"5",230,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"33",60,"2","2","0",39,"1","1","-1",5,"5",208,1,-1,0,"-1","0",1,0,0,0,0,0,0,0,0,0,0,0
"34",59,"2","2","0",0,"1","0","-1",5,"5",226,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"35",51,"2","3","0",10635,"1","0","-1",5,"5",336,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"36",57,"1","2","0",63,"1","0","-1",5,"5",242,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"37",25,"2","2","0",-7,"1","0","-1",5,"5",365,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"38",53,"2","2","0",-3,"0","0","-1",5,"5",1666,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"39",36,"1","2","0",506,"1","0","-1",5,"5",577,1,-1,0,"-1","0",1,0,0,0,0,0,0,0,0,0,0,0
"40",37,"3","2","0",0,"1","0","-1",5,"5",137,1,-1,0,"-1","0",1,0,0,0,0,0,0,0,0,0,0,0
"41",44,"1","2","0",2586,"1","0","-1",5,"5",160,1,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"42",50,"2","2","0",49,"1","0","-1",5,"5",180,2,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"43",60,"2","-1","0",104,"1","0","-1",5,"5",22,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"44",54,"2","2","0",529,"1","0","-1",5,"5",1492,1,-1,0,"-1","0",0,0,0,0,0,1,0,0,0,0,0,0
"45",58,"2","-1","0",96,"1","0","-1",5,"5",616,1,-1,0,"-1","0",0,0,0,0,0,1,0,0,0,0,0,0
"46",36,"3","1","0",-171,"1","0","-1",5,"5",242,1,-1,0,"-1","0",1,0,0,0,0,0,0,0,0,0,0,0
"47",58,"2","3","0",-364,"1","0","-1",5,"5",355,1,-1,0,"-1","0",0,0,0,0,0,0,1,0,0,0,0,0
"48",44,"2","2","0",0,"1","0","-1",5,"5",225,2,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"49",55,"1","2","0",0,"0","0","-1",5,"5",160,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"50",29,"3","3","0",0,"1","0","-1",5,"5",363,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"51",54,"2","2","0",1291,"1","0","-1",5,"5",266,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"52",48,"1","3","0",-244,"1","0","-1",5,"5",253,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"53",32,"2","3","0",0,"1","0","-1",5,"5",179,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"54",42,"3","2","0",-76,"1","0","-1",5,"5",787,1,-1,0,"-1","0",1,0,0,0,0,0,0,0,0,0,0,0
"55",24,"3","2","0",-103,"1","1","-1",5,"5",145,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"56",38,"3","3","0",243,"0","1","-1",5,"5",174,1,-1,0,"-1","0",0,0,1,0,0,0,0,0,0,0,0,0
"57",38,"3","3","0",424,"1","0","-1",5,"5",104,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"58",47,"2","-1","0",306,"1","0","-1",5,"5",13,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"59",40,"3","-1","0",24,"1","0","-1",5,"5",185,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"60",46,"2","1","0",179,"1","0","-1",5,"5",1778,1,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"61",32,"2","3","0",0,"1","0","-1",5,"5",138,1,-1,0,"-1","0",1,0,0,0,0,0,0,0,0,0,0,0
"62",53,"1","2","0",989,"1","0","-1",5,"5",812,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"63",57,"2","1","0",249,"1","0","-1",5,"5",164,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"64",33,"2","2","0",790,"1","0","-1",5,"5",391,1,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"65",49,"2","-1","0",154,"1","0","-1",5,"5",357,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"66",51,"2","3","0",6530,"1","0","-1",5,"5",91,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"67",60,"2","3","0",100,"0","0","-1",5,"5",528,1,-1,0,"-1","0",0,0,0,0,0,1,0,0,0,0,0,0
"68",59,"1","3","0",59,"1","0","-1",5,"5",273,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"69",55,"2","2","0",1205,"1","0","-1",5,"5",158,2,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"70",35,"3","2","0",12223,"1","1","-1",5,"5",177,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"71",57,"2","2","0",5935,"1","1","-1",5,"5",258,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"72",31,"2","2","0",25,"1","1","-1",5,"5",172,1,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"73",54,"2","2","0",282,"1","1","-1",5,"5",154,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"74",55,"2","1","0",23,"1","0","-1",5,"5",291,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"75",43,"2","2","0",1937,"1","0","-1",5,"5",181,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"76",53,"2","2","0",384,"1","0","-1",5,"5",176,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"77",44,"2","2","0",582,"0","1","-1",5,"5",211,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"78",55,"1","2","0",91,"0","0","-1",5,"5",349,1,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"79",49,"1","2","0",0,"1","1","-1",5,"5",272,1,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"80",55,"1","2","1",1,"1","0","-1",5,"5",208,1,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"81",45,"3","2","0",206,"1","0","-1",5,"5",193,1,-1,0,"-1","0",1,0,0,0,0,0,0,0,0,0,0,0
"82",47,"1","2","0",164,"0","0","-1",5,"5",212,1,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"83",42,"3","2","0",690,"1","0","-1",5,"5",20,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"84",59,"2","2","0",2343,"1","0","-1",5,"5",1042,1,-1,0,"-1","1",1,0,0,0,0,0,0,0,0,0,0,0
"85",46,"2","3","0",137,"1","1","-1",5,"5",246,1,-1,0,"-1","0",0,0,0,0,0,0,1,0,0,0,0,0
"86",51,"2","1","0",173,"1","0","-1",5,"5",529,2,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"87",56,"2","2","0",45,"0","0","-1",5,"5",1467,1,-1,0,"-1","1",1,0,0,0,0,0,0,0,0,0,0,0
"88",41,"2","2","0",1270,"1","0","-1",5,"5",1389,1,-1,0,"-1","1",0,0,0,0,0,0,0,0,0,1,0,0
"89",46,"1","2","0",16,"1","1","-1",5,"5",188,2,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"90",57,"2","2","0",486,"1","0","-1",5,"5",180,2,-1,0,"-1","0",0,0,0,0,0,1,0,0,0,0,0,0
"91",42,"3","2","0",50,"0","0","-1",5,"5",48,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"92",30,"2","2","0",152,"1","1","-1",5,"5",213,2,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"93",60,"2","2","0",290,"1","0","-1",5,"5",583,1,-1,0,"-1","0",1,0,0,0,0,0,0,0,0,0,0,0
"94",60,"2","-1","0",54,"1","0","-1",5,"5",221,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"95",57,"1","2","0",-37,"0","0","-1",5,"5",173,1,-1,0,"-1","0",0,0,1,0,0,0,0,0,0,0,0,0
"96",36,"2","3","0",101,"1","1","-1",5,"5",426,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"97",55,"2","2","0",383,"0","0","-1",5,"5",287,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"98",60,"2","3","0",81,"1","0","-1",5,"5",101,1,-1,0,"-1","0",0,0,0,0,0,1,0,0,0,0,0,0
"99",39,"2","2","0",0,"1","0","-1",5,"5",203,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"100",46,"2","3","0",229,"1","0","-1",5,"5",197,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"101",44,"2","2","0",-674,"1","0","-1",5,"5",257,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"102",53,"2","1","0",90,"0","0","-1",5,"5",124,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"103",52,"2","1","0",128,"1","0","-1",5,"5",229,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"104",59,"2","1","0",179,"1","0","-1",5,"5",55,3,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"105",27,"3","3","0",0,"1","0","-1",5,"5",400,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"106",44,"2","2","0",54,"1","0","-1",5,"5",197,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"107",47,"2","3","0",151,"1","0","-1",5,"5",190,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"108",34,"2","2","0",61,"0","1","-1",5,"5",21,1,-1,0,"-1","0",1,0,0,0,0,0,0,0,0,0,0,0
"109",59,"3","2","0",30,"1","0","-1",5,"5",514,1,-1,0,"-1","0",0,0,0,0,0,1,0,0,0,0,0,0
"110",45,"2","3","0",523,"1","0","-1",5,"5",849,2,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"111",29,"1","2","0",31,"1","0","-1",5,"5",194,1,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"112",46,"1","2","0",79,"0","0","-1",5,"5",144,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"113",56,"2","1","0",-34,"1","1","-1",5,"5",212,2,-1,0,"-1","0",0,0,0,0,0,0,1,0,0,0,0,0
"114",36,"2","1","0",448,"1","0","-1",5,"5",286,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"115",59,"1","1","0",81,"1","0","-1",5,"5",107,1,-1,0,"-1","0",0,0,0,0,0,1,0,0,0,0,0,0
"116",44,"2","2","0",144,"1","0","-1",5,"5",247,2,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"117",41,"2","2","0",351,"1","0","-1",5,"5",518,1,-1,0,"-1","0",1,0,0,0,0,0,0,0,0,0,0,0
"118",33,"3","3","0",-67,"1","0","-1",5,"5",364,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"119",59,"1","3","0",262,"0","0","-1",5,"5",178,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"120",57,"2","1","0",0,"0","0","-1",5,"5",98,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"121",56,"1","-1","0",56,"1","0","-1",5,"5",439,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"122",51,"2","2","0",26,"1","0","-1",5,"5",79,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"123",34,"2","-1","0",3,"1","0","-1",5,"5",120,3,-1,0,"-1","0",1,0,0,0,0,0,0,0,0,0,0,0
"124",43,"2","2","0",41,"1","1","-1",5,"5",127,2,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"125",52,"2","3","0",7,"0","1","-1",5,"5",175,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"126",33,"3","2","0",105,"1","0","-1",5,"5",262,2,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"127",29,"3","2","0",818,"1","1","-1",5,"5",61,1,-1,0,"-1","0",1,0,0,0,0,0,0,0,0,0,0,0
"128",34,"2","2","0",-16,"1","1","-1",5,"5",78,1,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"129",31,"2","2","0",0,"1","0","-1",5,"5",143,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"130",55,"2","2","0",2476,"1","0","-1",5,"5",579,1,-1,0,"-1","1",0,0,0,0,0,0,0,1,0,0,0,0
"131",55,"2","-1","0",1185,"0","0","-1",5,"5",677,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"132",32,"3","2","0",217,"1","0","-1",5,"5",345,1,-1,0,"-1","0",1,0,0,0,0,0,0,0,0,0,0,0
"133",38,"3","2","0",1685,"1","0","-1",5,"5",185,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"134",55,"3","2","0",802,"1","1","-1",5,"5",100,2,-1,0,"-1","0",1,0,0,0,0,0,0,0,0,0,0,0
"135",28,"3","3","0",0,"1","0","-1",5,"5",125,2,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,0,1,0
"136",23,"2","2","0",94,"1","0","-1",5,"5",193,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"137",32,"3","2","0",0,"1","0","-1",5,"5",136,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"138",43,"3","-1","0",0,"0","0","-1",5,"5",73,1,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"139",32,"2","2","0",517,"1","0","-1",5,"5",528,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"140",46,"2","2","0",265,"1","0","-1",5,"5",541,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"141",53,"1","1","0",947,"1","0","-1",5,"5",163,1,-1,0,"-1","0",0,0,0,1,0,0,0,0,0,0,0,0
"142",34,"3","2","0",3,"1","0","-1",5,"5",301,1,-1,0,"-1","0",0,0,0,0,0,0,1,0,0,0,0,0
"143",57,"2","3","0",42,"0","0","-1",5,"5",46,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,0,1,0
"144",37,"2","2","0",37,"1","0","-1",5,"5",204,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"145",59,"2","2","0",57,"1","0","-1",5,"5",98,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"146",33,"2","2","0",22,"1","0","-1",5,"5",71,1,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"147",56,"1","1","0",8,"1","0","-1",5,"5",157,2,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"148",48,"2","2","0",293,"1","0","-1",5,"5",243,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,0,1,0
"149",43,"2","1","0",3,"1","0","-1",5,"5",186,2,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"150",54,"2","1","0",348,"1","0","-1",5,"5",579,2,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"151",51,"2","-1","0",-19,"1","0","-1",5,"5",163,2,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"152",26,"3","2","0",0,"1","0","-1",5,"5",610,2,-1,0,"-1","0",0,0,0,0,0,0,0,0,1,0,0,0
"153",40,"2","3","0",-4,"1","0","-1",5,"5",2033,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"154",39,"2","2","0",18,"1","0","-1",5,"5",85,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"155",50,"2","1","0",139,"0","0","-1",5,"5",114,2,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"156",41,"2","2","0",0,"1","0","-1",5,"5",114,2,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"157",51,"2","-1","0",1883,"1","0","-1",5,"5",57,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"158",60,"1","2","0",216,"1","0","-1",5,"5",238,1,-1,0,"-1","0",0,0,0,0,0,1,0,0,0,0,0,0
"159",52,"2","2","0",782,"1","0","-1",5,"5",93,3,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"160",48,"2","2","0",904,"1","0","-1",5,"5",128,2,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"161",48,"2","-1","0",1705,"1","0","-1",5,"5",107,1,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"162",39,"3","3","0",47,"1","0","-1",5,"5",181,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"163",47,"3","2","0",176,"1","0","-1",5,"5",303,2,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"164",40,"2","2","0",1225,"1","0","-1",5,"5",558,5,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"165",45,"2","2","0",86,"1","0","-1",5,"5",270,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"166",26,"3","2","0",82,"1","0","-1",5,"5",228,1,-1,0,"-1","0",1,0,0,0,0,0,0,0,0,0,0,0
"167",52,"2","3","0",271,"1","0","-1",5,"5",99,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"168",54,"2","2","0",1378,"1","0","-1",5,"5",240,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"169",54,"2","3","0",184,"0","0","-1",5,"5",673,2,-1,0,"-1","1",1,0,0,0,0,0,0,0,0,0,0,0
"170",50,"2","1","0",0,"0","0","-1",5,"5",233,3,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"171",35,"2","2","0",0,"1","0","-1",5,"5",1056,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"172",44,"2","2","0",1357,"1","1","-1",5,"5",250,1,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"173",53,"2","-1","0",19,"1","0","-1",5,"5",252,1,-1,0,"-1","0",0,0,1,0,0,0,0,0,0,0,0,0
"174",35,"3","1","0",434,"0","0","-1",5,"5",138,1,-1,0,"-1","0",0,0,0,0,0,1,0,0,0,0,0,0
"175",60,"1","2","0",92,"1","0","-1",5,"5",130,1,-1,0,"-1","0",1,0,0,0,0,0,0,0,0,0,0,0
"176",53,"1","2","0",1151,"1","0","-1",5,"5",412,1,-1,0,"-1","0",1,0,0,0,0,0,0,0,0,0,0,0
"177",48,"2","2","0",41,"1","0","-1",5,"5",179,2,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,0,1,0
"178",34,"2","2","0",51,"1","0","-1",5,"5",19,2,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"179",54,"2","2","0",214,"1","0","-1",5,"5",458,2,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"180",51,"2","2","0",1161,"1","0","-1",5,"5",717,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"181",31,"2","3","0",37,"1","0","-1",5,"5",313,1,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"182",35,"1","2","0",787,"1","0","-1",5,"5",683,2,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"183",35,"2","2","0",59,"1","0","-1",5,"5",1077,1,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"184",38,"2","2","0",253,"1","0","-1",5,"5",416,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"185",36,"2","3","0",211,"1","0","-1",5,"5",146,2,-1,0,"-1","0",1,0,0,0,0,0,0,0,0,0,0,0
"186",58,"2","1","0",235,"1","0","-1",5,"5",167,1,-1,0,"-1","0",0,0,0,0,0,1,0,0,0,0,0,0
"187",40,"1","-1","0",4384,"1","0","-1",5,"5",315,1,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"188",54,"2","2","0",4080,"0","0","-1",5,"5",140,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"189",34,"3","2","0",53,"1","1","-1",5,"5",346,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"190",31,"3","3","0",0,"1","0","-1",5,"5",562,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"191",51,"2","2","0",2127,"1","0","-1",5,"5",172,1,-1,0,"-1","0",0,0,0,0,0,1,0,0,0,0,0,0
"192",33,"2","3","0",377,"1","0","-1",5,"5",217,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"193",55,"2","3","0",73,"1","0","-1",5,"5",142,2,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"194",42,"2","2","0",445,"1","0","-1",5,"5",67,1,-1,0,"-1","0",1,0,0,0,0,0,0,0,0,0,0,0
"195",34,"2","2","0",243,"1","0","-1",5,"5",291,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"196",33,"3","2","0",307,"1","0","-1",5,"5",309,2,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"197",38,"2","2","0",155,"1","0","-1",5,"5",248,1,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"198",50,"1","3","0",173,"0","1","-1",5,"5",98,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"199",43,"2","3","0",400,"1","0","-1",5,"5",256,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"200",61,"1","1","0",1428,"1","0","-1",5,"5",82,2,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"201",47,"2","2","0",219,"1","0","-1",5,"5",577,1,-1,0,"-1","0",1,0,0,0,0,0,0,0,0,0,0,0
"202",48,"2","3","0",7,"1","0","-1",5,"5",286,1,-1,0,"-1","0",0,0,0,0,0,0,1,0,0,0,0,0
"203",44,"2","2","0",575,"1","0","-1",5,"5",477,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"204",35,"3","-1","0",298,"1","0","-1",5,"5",611,2,-1,0,"-1","0",0,0,0,0,0,0,0,0,1,0,0,0
"205",35,"2","2","0",0,"1","0","-1",5,"5",471,1,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"206",50,"2","2","0",5699,"1","0","-1",5,"5",381,2,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"207",41,"2","3","0",176,"1","1","-1",5,"5",42,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"208",41,"2","3","0",517,"1","0","-1",5,"5",251,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
